,left x,left y,right x,right y
313,1474,983,3506,2045
314,1483,986,3511,2024
315,1490,987,3514,1943
316,1495,989,3517,1970
317,1500,990,3521,1944
318,1508,992,3526,2026
319,1513,993,3529,1983
320,1519,995,3531,1953
321,1523,995,3533,1992
322,1527,997,3536,1999
323,1532,998,3539,1926
324,1537,1000,3543,1921
325,1543,1001,3547,1933
326,1549,1002,3550,1908
327,1553,1004,3551,1939
328,1552,1003,3551,2027
329,1554,1003,3552,1973
330,1557,1003,3555,2033
331,1562,1003,3557,1975
332,1565,1002,3556,1083
333,1562,1000,3554,1084
334,1557,1000,3550,1086
335,1557,1002,3552,1811
336,1562,1006,3559,2016
337,1570,1009,3564,2037
338,1574,1011,3566,2079
339,1575,1012,3565,1978
340,1574,1012,3564,1972
341,1573,1012,3564,1978
342,1574,1012,3565,2064
343,1578,1012,3567,1929
344,1581,1014,3569,2000
345,1582,1014,3568,2074
346,1580,1015,3565,1672
347,1579,1015,3566,2021
348,1583,1018,3570,2046
349,1588,1019,3574,2073
350,1592,1020,3576,2042
351,1592,1019,3576,2038
352,1594,1020,3577,2001
353,1596,1021,3578,2039
354,1598,1021,3579,2052
355,1599,1021,3580,2042
356,1603,1021,3583,2090
357,1606,1023,3586,2096
358,1611,1026,3590,2083
359,1616,1029,3594,2004
360,1622,1031,3598,1999
361,1627,1033,3602,2010
362,1631,1036,3605,2053
363,1633,1039,3606,2066
364,1634,1040,3607,2098
365,1634,1037,3610,2031
366,1639,1038,3613,2094
367,1647,1042,3614,2027
368,1651,1044,3616,2032
369,1657,1045,3619,2079
370,1661,1046,3620,2017
371,1665,1046,3622,2036
372,1670,1050,3626,2074
373,1672,1050,3631,2094
374,1677,1052,3635,2072
375,1681,1053,3638,2055
376,1684,1053,3641,2096
377,1687,1054,3642,2029
378,1689,1053,3644,2068
379,1693,1054,3648,2099
380,1698,1056,3652,2095
381,1703,1057,3655,2056
382,1708,1057,3656,2061
383,1709,1054,3655,2024
384,1710,1053,3656,2092
385,1712,1052,3658,2097
386,1716,1052,3663,2042
387,1723,1054,3671,2098
388,1732,1056,3678,2038
389,1740,1059,3684,2029
390,1745,1061,3687,2061
391,1748,1062,3689,2100
392,1750,1063,3690,2079
393,1754,1064,3694,2125
394,1760,1065,3700,2086
395,1769,1068,3705,2049
396,1775,1069,3709,2101
397,1778,1069,3711,2129
398,1781,1069,3714,2128
399,1786,1070,3718,2032
400,1791,1069,3723,2044
401,1797,1070,3727,2028
402,1802,1069,3730,2001
403,1806,1070,3733,2020
404,1809,1070,3734,1925
405,1812,1071,3736,1919
406,1816,1070,3741,2081
407,1823,1072,3748,2143
408,1826,1994,3749,1821
409,1827,2040,3750,1842
410,1827,2103,3750,1702
411,1830,2107,3754,2020
412,1836,1075,3759,2008
413,1842,1075,3764,2067
414,1846,1076,3768,2116
415,1849,1854,3771,2027
416,1852,1896,3774,2064
417,1854,1865,3776,2051
418,1858,1646,3779,2019
419,1861,1901,3784,2130
420,1863,2176,3787,2143
421,1865,1855,3788,2121
422,1865,2138,3789,2076
423,1869,1093,3793,2082
424,1873,1093,3796,2097
425,1874,1091,3798,2091
426,1872,1858,3798,2126
427,1869,1087,3798,2070
428,1866,1087,3802,2116
429,1869,1090,3807,2152
430,1876,1092,3808,2150
431,1880,2167,3806,2131
432,1879,2024,3802,2040
433,1876,2011,3798,2104
434,1875,2036,3795,2074
435,1877,1895,3795,2033
436,1878,1088,3799,2033
437,1880,1760,3801,2027
438,1881,1084,3802,1931
439,1881,1083,3804,2056
440,1883,1081,3809,2120
441,1888,1082,3817,2038
442,1897,1085,3825,2079
443,1904,1086,3829,2082
444,1903,1996,3829,1915
445,1894,2145,3828,2098
446,1896,2143,3827,1675
447,1902,2079,3830,1925
448,1910,1929,3834,1535
449,1920,1080,3839,1080
450,1926,1080,3846,1077
451,1932,1081,3853,1073
452,1938,1082,3859,1071
453,1942,1082,3863,1071
454,1947,1083,3869,1069
455,1948,1084,3869,1073
456,1951,1084,3872,1073
457,1956,1085,3879,2036
458,1964,1086,3886,1072
459,1966,1990,3891,1074
460,1968,1918,3894,1075
461,1968,2115,3895,1076
462,1971,2126,3896,1077
463,1976,2086,3902,1076
464,1981,1963,3907,1076
465,1983,2105,3912,1076
466,1985,2057,3915,1077
467,1987,2029,3917,1078
468,1988,2042,3917,1079
469,1990,2101,3919,1078
470,1993,2022,3921,1078
471,1994,2124,3923,1079
472,1995,2060,3923,1078
473,1995,2158,3925,2110
474,1997,2108,3927,2085
475,2000,2106,3930,1930
476,2002,2143,3932,1078
477,2003,2114,3934,1078
478,2003,2088,3935,1079
479,2003,2098,3935,1080
480,2004,2125,3936,1080
481,2007,2100,3939,1081
482,2010,2069,3942,1082
483,2011,2088,3946,1083
484,2012,2107,3949,1084
485,2013,2145,3950,1085
486,2019,2073,3954,1084
487,2027,2080,3962,1083
488,2034,2094,3974,1079
489,2037,2092,3984,1076
490,2040,2147,3988,1075
491,2046,2091,3990,1076
492,2051,2136,3994,1076
493,2055,2127,3999,1076
494,2059,2115,4003,1076
495,2060,2124,4010,1074
496,2062,2133,4013,1074
497,2062,2130,4015,1074
498,2061,2106,4017,1075
499,2060,2130,4015,1075
500,2063,2123,4018,1074
501,2070,2115,4020,1074
502,2074,2106,4026,1072
503,2076,2131,4031,1070
504,2078,2123,4034,1069
505,2078,2109,4035,1069
506,2080,2088,4036,1068
507,2083,2088,4039,1067
508,2086,2099,4044,1066
509,2087,2112,4047,1066
510,2088,2083,4049,1066
511,2088,2125,4051,1067
512,2091,2069,4052,1067
513,2094,2083,4055,1065
514,2098,2082,4059,1063
515,2101,2095,4063,1062
516,2104,2105,4067,1061
517,2106,2085,4071,1063
518,2107,2071,4073,1063
519,2108,2120,4075,1066
520,2112,2082,4079,1065
521,2115,2101,4085,1066
522,2117,2098,4089,1068
523,2119,2086,4092,1070
524,2121,2095,4096,1072
525,2123,2123,4100,1072
526,2127,2084,4105,1073
527,2129,2103,4110,1073
528,2131,2103,4114,1074
529,2131,2112,4115,1075
530,2133,2099,4116,1075
531,2136,2091,4119,1076
532,2139,2097,4123,1076
533,2142,2099,4128,1076
534,2141,2112,4131,1077
535,2139,2120,4130,1080
536,2140,2112,4129,1081
537,2144,2111,4133,1081
538,2149,2090,4139,1079
539,2153,2095,4145,1078
540,2154,2119,4150,1078
541,2154,2096,4149,1077
542,2153,2107,4147,1077
543,2153,2115,4146,1078
544,2156,2092,4149,1075
545,2158,2109,4154,1073
546,2160,2107,4160,1072
547,2161,2084,4162,1071
548,2161,2087,4161,1071
549,2163,2096,4163,1071
550,2164,2083,4165,1071
551,2163,2108,4165,1071
552,2164,2090,4165,1072
553,2166,2114,4166,1072
554,2170,2092,4172,1072
555,2171,2109,4176,1072
556,2171,2085,4178,1072
557,2171,2104,4178,1072
558,2175,2095,4182,1072
559,2178,2086,4188,1070
560,2179,2078,4192,1070
561,2177,2092,4194,1069
562,2175,2084,4192,1070
563,2175,2098,4191,1069
564,2178,2083,4194,1068
565,2179,2087,4198,1067
566,2180,2076,4198,1066
567,2181,2079,4199,1067
568,2183,2072,4201,1067
569,2185,2084,4204,1066
570,2187,2083,4208,1066
571,2188,2093,4212,1067
572,2189,2076,4214,1068
573,2190,2083,4216,1069
574,2191,2094,4219,1069
575,2194,2075,4221,1070
576,2197,2076,4225,1069
577,2199,2079,4229,1068
578,2198,2096,4231,1067
579,2197,2080,4229,1070
580,2198,2076,4228,1071
581,2202,2088,4231,1071
582,2208,2083,4240,1069
583,2212,2090,4248,1067
584,2215,2091,4255,1064
585,2216,2084,4257,1064
586,2218,2074,4259,1064
587,2222,2068,4262,1064
588,2227,2089,4270,1062
589,2232,2074,4278,1061
590,2233,2083,4282,1060
591,2234,2092,4282,1061
592,2236,2092,4283,1063
593,2238,2092,4285,1064
594,2244,2102,4296,1063
595,2244,2101,4300,1064
596,2242,2089,4300,1067
597,2238,2097,4296,1069
598,2238,2078,4294,1072
599,2240,2079,4297,1073
600,2243,2095,4301,1071
601,2248,2075,4308,1069
602,2251,2077,4312,1067
603,2254,2085,4317,1067
604,2256,2090,4322,1066
605,2258,2085,4326,1068
606,2259,2096,4329,1069
607,2262,2088,4332,1069
608,2265,2097,4338,1069
609,2269,2089,4344,1070
610,2272,2089,4349,1069
611,2276,2087,4355,1068
612,2279,2088,4360,1068
613,2283,2099,4365,1064
614,2289,2081,4373,1062
615,2293,2097,4382,1060
616,2297,2091,4390,1058
617,2298,2097,4394,1057
618,2298,2098,4396,1057
619,2298,2086,4395,1057
620,2299,2101,4396,1057
621,2302,2093,4399,1056
622,2306,2082,4405,1055
623,2308,2082,4410,1053
624,2311,2083,4414,1054
625,2315,2096,4421,1052
626,2319,2091,4429,1051
627,2321,2080,4435,1052
628,2322,2088,4438,1054
629,2324,2097,4443,1055
630,2331,2081,4452,1056
